,Unnamed: 0,name,type,kind,development_stage,vitality,attack,harmful,universe
2791,2791,Beelze of the Diabolic Dragons,Synchro Monster,dragon,0.6666666666666666,0.6,0.6,True,yugioh
709,709,Beelzeus of the Diabolic Dragons,Synchro Monster,dragon,0.8333333333333334,0.8,0.8,True,yugioh
7457,7457,Beem-Ja,CombatSorcerer,argonian,0.998768472906404,0.024142926122646,0.1555390917807025,True,skyrim
2486,2486,Beetron,Effect Monster,insect,0.3333333333333333,0.32,0.32,True,yugioh
552,552,Beginning Knight,Effect Monster,warrior,0.3333333333333333,0.4,0.1,True,yugioh
1669,1669,"Begone, Knave!",Trap Card,continuous,,,,False,yugioh
1889,1889,Behemoth the King of All Animals,Effect Monster,beast,0.5833333333333334,0.54,0.54,True,yugioh
7585,7585,Behir,Neutral Evil,monstrosity,0.5625,0.4642603550295858,0.7566666666666667,True,dd5
2731,2731,"Beiige, Vanguard of Dark World",Effect Monster,fiend,0.3333333333333333,0.32,0.32,True,yugioh
6905,6905,Beirand,VendorBlacksmith,nord,0.0110837438423645,0.0589087397392564,0.0993096836049856,False,skyrim
6534,6534,Beitild,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
7155,7155,Belchimac,None,breton,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
6942,6942,Belethor,None,breton,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7260,7260,Beleval,None,wood elf,0.998768472906404,0.024142926122646,0.0694238647258781,True,skyrim
2723,2723,Belial - Marquis of Darkness,Effect Monster,fiend,0.6666666666666666,0.56,0.56,True,yugioh
6917,6917,Belrand,NPCclassBelrand,nord,0.998768472906404,0.0482858522452921,0.1388477294517563,True,skyrim
7017,7017,Belyn Hlaalu,None,dark elf,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
6847,6847,Bendt,None,elder,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7369,7369,Benkum,None,nord,0.001231527093596,0.024142926122646,0.0694238647258781,False,skyrim
6697,6697,Benor,CombatWarrior2H,nord,0.998768472906404,0.024142926122646,0.0694238647258781,False,skyrim
6209,6209,Berfomet,Effect Monster,fiend,0.4166666666666667,0.36,0.28,True,yugioh
6977,6977,Bergritte Battle-Born,CombatWarrior1H,elder,0.0073891625615763,0.0521487204249155,0.0775734332781312,False,skyrim
1700,1700,Berry Magician Girl,Effect Monster,spellcaster,0.0833333333333333,0.08,0.08,True,yugioh
3175,3175,Berserk Gorilla,Effect Monster,beast,0.3333333333333333,0.4,0.4,True,yugioh
4276,4276,Berserk Scales,Spell Card,quick-play,,,,False,yugioh
7586,7586,Berserker,Any Chaotic Alignment,humanoid (any race),0.0625,0.3095562130177515,0.51,True,dd5
1269,1269,Berserker Crush,Spell Card,quick-play,,,,False,yugioh
1262,1262,Berserker Soul,Spell Card,quick-play,,,,False,yugioh
4603,4603,Berserking,Trap Card,continuous,,,,False,yugioh
3506,3506,Berserkion the Electromagna Warrior,Effect Monster,rock,0.6666666666666666,0.6,0.6,True,yugioh
6787,6787,Bersi Honey-Hand,CombatThief,nord,0.0098522167487684,0.0526315789473684,0.0914756384555042,False,skyrim
3184,3184,Beta the Magnet Warrior,Normal Monster,rock,0.3333333333333333,0.34,0.34,True,yugioh
6662,6662,Betrid Silver-Blood,None,nord,0.0049261083743842,0.0130371801062288,0.0833086376710537,True,skyrim
5340,5340,"Bi'an, Earth of the Yang Zing",Effect Monster,wyrm,0.25,0.32,0.32,True,yugioh
2109,2109,Bickuribox,Fusion Monster,fiend,0.5833333333333334,0.46,0.46,True,yugioh
4776,4776,Bicorn Re'em,Effect Monster,beast,0.3333333333333333,0.32,0.16,True,yugioh
4960,4960,Big Bang Shot,Spell Card,equip,,,,False,yugioh
2654,2654,Big Belly Knight,Effect Monster,warrior,0.3333333333333333,0.32,0.2,True,yugioh
1379,1379,Big Eye,Flip Effect Monster,fiend,0.3333333333333333,0.24,0.24,True,yugioh
4372,4372,Big Insect,Normal Monster,insect,0.3333333333333333,0.3,0.24,True,yugioh
4174,4174,Big Jaws,Effect Monster,fish,0.25,0.36,0.36,True,yugioh
3442,3442,Big Koala,Normal Monster,beast,0.5833333333333334,0.54,0.54,True,yugioh
2075,2075,Big Piece Golem,Effect Monster,rock,0.4166666666666667,0.42,0.42,True,yugioh
5260,5260,Big Shield Gardna,Effect Monster,warrior,0.3333333333333333,0.52,0.02,True,yugioh
4201,4201,Big Wave Small Wave,Spell Card,normal,,,,False,yugioh
1518,1518,Big Whale,Effect Monster,fish,0.75,0.6,0.2,True,yugioh
4831,4831,Big-Tusked Mammoth,Effect Monster,beast,0.4166666666666667,0.4,0.4,True,yugioh
655,655,Binding Chain,Normal Monster,fairy,0.25,0.22,0.2,True,yugioh
630,630,Bio Plant,Normal Monster,fiend,0.25,0.26,0.12,True,yugioh
4778,4778,Bio-Mage,Normal Monster,fairy,0.25,0.23,0.23,True,yugioh
5955,5955,Biofalcon,Effect Monster,machine,0.3333333333333333,0.34,0.34,True,yugioh
6048,6048,Bird of Roses,Effect Monster,plant,0.3333333333333333,0.36,0.36,True,yugioh
3723,3723,Birdface,Effect Monster,winged beast,0.3333333333333333,0.32,0.32,True,yugioh
7078,7078,Birna,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
2877,2877,Birthright,Trap Card,continuous,,,,False,yugioh
4086,4086,Bite Shoes,Flip Effect Monster,fiend,0.1666666666666666,0.1,0.1,True,yugioh
3652,3652,Bitelon,Effect Monster,reptile,0.5,0.48,0.48,True,yugioh
174,174,"Bixi, Water of the Yang Zing",Effect Monster,wyrm,0.1666666666666666,0.4,0.0,False,yugioh
6872,6872,Bjartur,None,nord,0.0123152709359605,0.0603573153066151,0.111078183561405,False,skyrim
7004,7004,Bjorlam,CombatWarrior1H,nord,0.0073891625615763,0.0521487204249155,0.0775734332781312,False,skyrim
7409,7409,Bjornolfr,None,nord,0.001231527093596,0.0,0.0454545454545454,False,skyrim
7587,7587,Black Bear,Unaligned,beast,0.0625,0.2340532544378698,0.5533333333333333,True,dd5
4146,4146,Black Brachios,Effect Monster,dinosaur,0.3333333333333333,0.36,0.36,True,yugioh
5415,5415,Black Cat-astrophe,Trap Card,normal,,,,False,yugioh
5015,5015,Black Dragon Collapserpent,Effect Monster,dragon,0.3333333333333333,0.36,0.36,True,yugioh
4604,4604,Black Dragon Ninja,Effect Monster,beast,0.5833333333333334,0.56,0.56,True,yugioh
7588,7588,Black Dragon Wyrmling,Chaotic Evil,dragon,0.0625,0.3644082840236686,0.5900000000000001,True,dd5
3274,3274,Black Feather Beacon,Trap Card,normal,,,,False,yugioh
5755,5755,Black Garden,Spell Card,field,,,,False,yugioh
4106,4106,Black Horn of Heaven,Trap Card,counter,,,,False,yugioh
2663,2663,Black Illusion,Trap Card,normal,,,,False,yugioh
3387,3387,Black Illusion Ritual,Spell Card,ritual,,,,False,yugioh
4544,4544,Black Luster Ritual,Spell Card,ritual,,,,False,yugioh
455,455,Black Luster Soldier,Ritual Monster,warrior,0.6666666666666666,0.6,0.6,True,yugioh
5854,5854,Black Luster Soldier - Envoy of the Beginning,Effect Monster,warrior,0.6666666666666666,0.6,0.6,True,yugioh
6227,6227,Black Luster Soldier - Envoy of the Evening Twilight,Effect Monster,warrior,0.6666666666666666,0.6,0.6,True,yugioh
4435,4435,Black Luster Soldier - Super Soldier,Ritual Effect Monster,warrior,0.6666666666666666,0.6,0.6,True,yugioh
6175,6175,Black Magic Ritual,Spell Card,ritual,,,,False,yugioh
5253,5253,Black Pendant,Spell Card,equip,,,,False,yugioh
6130,6130,Black Potan,Effect Monster,fiend,0.0833333333333333,0.04,0.04,True,yugioh
7589,7589,Black Pudding,Unaligned,ooze,0.25,0.2028698224852071,0.3066666666666666,True,dd5
5977,5977,Black Ray Lancer,XYZ Monster,beast-warrior,0.25,0.42,0.42,True,yugioh
5795,5795,Black Return,Trap Card,normal,,,,False,yugioh
5901,5901,Black Rose Dragon,Synchro Monster,dragon,0.5833333333333334,0.48,0.48,True,yugioh
2728,2728,Black Rose Moonlight Dragon,Synchro Monster,dragon,0.5833333333333334,0.48,0.48,True,yugioh
6368,6368,Black Salvo,Tuner Monster,machine,0.25,0.22,0.02,True,yugioh
5408,5408,Black Sheep Token,Token,zombie,,,,False,yugioh
5852,5852,Black Sonic,Trap Card,normal,,,,False,yugioh
6271,6271,Black Stego,Effect Monster,dinosaur,0.3333333333333333,0.4,0.24,True,yugioh
4305,4305,Black Thunder,Trap Card,normal,,,,False,yugioh
3137,3137,Black Tyranno,Effect Monster,dinosaur,0.5833333333333334,0.52,0.52,True,yugioh
4263,4263,Black Veloci,Effect Monster,dinosaur,0.3333333333333333,0.36,0.36,True,yugioh
802,802,Black Wing Revenge,Trap Card,normal,,,,False,yugioh
2569,2569,Black and White Wave,Spell Card,quick-play,,,,False,yugioh
727,727,Black-Winged Dragon,Synchro Monster,dragon,0.6666666666666666,0.56,0.56,True,yugioh
5444,5444,Black-Winged Strafe,Spell Card,normal,,,,False,yugioh
3602,3602,Blackback,Trap Card,normal,,,,False,yugioh
4360,4360,Blackboost,Trap Card,normal,,,,False,yugioh
4951,4951,Blackfeather Darkrage Dragon,Synchro Monster,dragon,0.6666666666666666,0.56,0.56,True,yugioh
2520,2520,Blackwing - Abrolhos the Megaquake,Effect Monster,winged beast,0.5833333333333334,0.52,0.52,True,yugioh
345,345,Blackwing - Aurora the Northern Lights,Effect Monster,winged beast,0.8333333333333334,0.0,0.0,False,yugioh
803,803,Blackwing - Black Crest Token,Token,winged beast,,,,False,yugioh
1874,1874,Blackwing - Blizzard the Far North,Tuner Monster,winged beast,0.1666666666666666,0.26,0.26,True,yugioh
2092,2092,Blackwing - Bombardment,Trap Card,normal,,,,False,yugioh
3595,3595,Blackwing - Boobytrap,Trap Card,normal,,,,False,yugioh
4010,4010,Blackwing - Bora the Spear,Effect Monster,winged beast,0.3333333333333333,0.34,0.34,True,yugioh
1358,1358,Blackwing - Boreas the Sharp,Effect Monster,winged beast,0.4166666666666667,0.26,0.26,True,yugioh
4313,4313,Blackwing - Brisote the Tailwind,Effect Monster,winged beast,0.4166666666666667,0.36,0.24,True,yugioh
4730,4730,Blackwing - Damascus the Polar Night,Effect Monster,winged beast,0.25,0.26,0.26,True,yugioh
1602,1602,Blackwing - Decay the Ill Wind,Tuner Monster,winged beast,0.3333333333333333,0.2,0.2,True,yugioh
956,956,Blackwing - Elphin the Raven,Effect Monster,winged beast,0.5,0.44,0.44,True,yugioh
738,738,Blackwing - Fane the Steel Chain,Effect Monster,winged beast,0.1666666666666666,0.16,0.1,True,yugioh
167,167,Blackwing - Gale the Whirlwind,Tuner Monster,winged beast,0.25,0.26,0.26,True,yugioh
2191,2191,Blackwing - Ghibli the Searing Wind,Effect Monster,winged beast,0.25,0.32,0.0,False,yugioh
2296,2296,Blackwing - Gladius the Midnight Sun,Effect Monster,winged beast,0.25,0.3,0.16,True,yugioh
804,804,Blackwing - Gofu the Vague Shadow,Tuner Monster,winged beast,0.4166666666666667,0.0,0.0,False,yugioh
1437,1437,Blackwing - Gram the Shining Star,Synchro Monster,winged beast,0.4166666666666667,0.44,0.44,True,yugioh
4310,4310,Blackwing - Gust the Backblast,Effect Monster,winged beast,0.1666666666666666,0.28,0.18,True,yugioh
6207,6207,Blackwing - Harmattan the Dust,Effect Monster,winged beast,0.1666666666666666,0.16,0.16,True,yugioh
263,263,Blackwing - Hillen the Tengu-wind,Tuner Monster,winged beast,0.4166666666666667,0.46,0.0,False,yugioh
2945,2945,Blackwing - Hurricane the Tornado,Tuner Monster,winged beast,0.0833333333333333,0.0,0.0,False,yugioh
3130,3130,Blackwing - Jin the Rain Shadow,Tuner Monster,winged beast,0.0833333333333333,0.12,0.12,True,yugioh
3422,3422,Blackwing - Kochi the Daybreak,Tuner Monster,winged beast,0.3333333333333333,0.3,0.14,True,yugioh
4037,4037,Blackwing - Kogarashi the Wanderer,Tuner Monster,winged beast,0.5,0.46,0.46,True,yugioh
3820,3820,Blackwing - Mistral the Silver Shield,Tuner Monster,winged beast,0.1666666666666666,0.36,0.02,True,yugioh
5909,5909,Blackwing - Oroshi the Squall,Tuner Monster,winged beast,0.0833333333333333,0.12,0.08,True,yugioh
4531,4531,Blackwing - Pinaki the Waxing Moon,Tuner Monster,winged beast,0.25,0.24,0.24,True,yugioh
4786,4786,Blackwing - Shura the Blue Flame,Effect Monster,winged beast,0.3333333333333333,0.36,0.36,True,yugioh
2693,2693,Blackwing - Silverwind the Ascendant,Synchro Monster,winged beast,0.6666666666666666,0.56,0.56,True,yugioh
6069,6069,Blackwing - Sirocco the Dawn,Effect Monster,winged beast,0.4166666666666667,0.4,0.4,True,yugioh
730,730,Blackwing - Steam the Cloak,Tuner Monster,winged beast,0.25,0.24,0.16,True,yugioh
5895,5895,Blackwing - Tornado the Reverse Wind,Effect Monster,winged beast,0.3333333333333333,0.24,0.2,True,yugioh
5835,5835,Blackwing - Vayu the Emblem of Honor,Tuner Monster,winged beast,0.0833333333333333,0.16,0.16,True,yugioh
1209,1209,Blackwing - Zephyros the Elite,Effect Monster,winged beast,0.3333333333333333,0.32,0.32,True,yugioh
6186,6186,Blackwing Armed Wing,Synchro Monster,winged beast,0.5,0.46,0.46,True,yugioh
5545,5545,Blackwing Armor Master,Synchro Monster,winged beast,0.5833333333333334,0.5,0.5,True,yugioh
5647,5647,Blade Bounzer,Effect Monster,warrior,0.3333333333333333,0.36,0.36,True,yugioh
3202,3202,Blade Knight,Effect Monster,warrior,0.3333333333333333,0.32,0.32,True,yugioh
4742,4742,Blade Rabbit,Effect Monster,beast,0.1666666666666666,0.08,0.08,True,yugioh
6457,6457,Blade Skater,Normal Monster,warrior,0.3333333333333333,0.3,0.28,True,yugioh
2319,2319,Bladefly,Effect Monster,insect,0.1666666666666666,0.14,0.12,True,yugioh
6887,6887,Blaise,None,breton,0.001231527093596,0.024142926122646,0.0239693192713326,False,skyrim
961,961,Blast Asmodian,Effect Monster,fiend,0.25,0.2,0.2,True,yugioh
5643,5643,Blast Juggler,Effect Monster,machine,0.25,0.18,0.16,True,yugioh
1723,1723,Blast Magician,Effect Monster,spellcaster,0.3333333333333333,0.34,0.28,True,yugioh
2160,2160,Blast Sphere,Effect Monster,machine,0.3333333333333333,0.28,0.28,True,yugioh
4384,4384,"Blaster, Dragon Ruler of Infernos",Effect Monster,dragon,0.5833333333333334,0.56,0.56,True,yugioh
1761,1761,Blasting the Ruins,Trap Card,normal,,,,False,yugioh
5591,5591,Blaze Accelerator,Spell Card,continuous,,,,False,yugioh
4256,4256,Blaze Accelerator Reload,Trap Card,continuous,,,,False,yugioh
549,549,"Blaze Fenix, the Burning Bombardment Bird",Fusion Monster,pyro,0.6666666666666666,0.56,0.56,True,yugioh
1400,1400,Blazewing Butterfly,Gemini Monster,insect,0.3333333333333333,0.3,0.3,True,yugioh
458,458,Blazing Inpachi,Normal Monster,pyro,0.3333333333333333,0.37,0.37,True,yugioh
6047,6047,Blazing Mirror Force,Trap Card,normal,,,,False,yugioh
2494,2494,Blessings of the Nile,Spell Card,continuous,,,,False,yugioh
2600,2600,Blind Destruction,Trap Card,continuous,,,,False,yugioh
4026,4026,Blind Spot Strike,Spell Card,quick-play,,,,False,yugioh
2852,2852,Blindly Loyal Goblin,Effect Monster,warrior,0.3333333333333333,0.36,0.36,True,yugioh
7590,7590,Blink Dog,Lawful Good,fey,0.0625,0.2762721893491124,0.5933333333333333,True,dd5
5006,5006,Blizzard Dragon,Effect Monster,dragon,0.3333333333333333,0.36,0.36,True,yugioh
3572,3572,Blizzard Falcon,Effect Monster,winged beast,0.3333333333333333,0.3,0.3,True,yugioh
2306,2306,Blizzard Princess,Effect Monster,spellcaster,0.6666666666666666,0.56,0.56,True,yugioh
4150,4150,Blizzard Thunderbird,Effect Monster,winged beast,0.3333333333333333,0.32,0.32,True,yugioh
4884,4884,"Blizzed, Defender of the Ice Barrier",Effect Monster,aqua,0.0833333333333333,0.1,0.06,True,yugioh
2132,2132,Block Attack,Spell Card,normal,,,,False,yugioh
5822,5822,Block Golem,Effect Monster,rock,0.25,0.3,0.2,True,yugioh
3939,3939,Block Token,Token,rock,,,,False,yugioh
2820,2820,Blocker,Normal Monster,machine,0.3333333333333333,0.36,0.17,True,yugioh
3938,3938,Blockman,Effect Monster,rock,0.3333333333333333,0.3,0.2,True,yugioh
7591,7591,Blood Hawk,Unaligned,beast,0.0625,0.2451775147928994,0.3233333333333333,True,dd5
2500,2500,Blood Mefist,Synchro Monster,fiend,0.6666666666666666,0.56,0.56,True,yugioh
2037,2037,Bloom Prima the Melodious Choir,Fusion Monster,fairy,0.5833333333333334,0.4,0.38,True,yugioh
1098,1098,Blossom Bombardment,Trap Card,normal,,,,False,yugioh
2101,2101,Blowback Dragon,Effect Monster,machine,0.5,0.46,0.46,True,yugioh
1189,1189,Blue Dragon Ninja,Effect Monster,sea serpent,0.4166666666666667,0.42,0.42,True,yugioh
4556,4556,Blue Dragon Summoner,Effect Monster,spellcaster,0.3333333333333333,0.3,0.3,True,yugioh
7592,7592,Blue Dragon Wyrmling,Lawful Evil,dragon,0.0625,0.3784615384615385,0.5900000000000001,True,dd5
3268,3268,Blue Duston,Effect Monster,fiend,0.0833333333333333,0.2,0.0,False,yugioh
4147,4147,Blue Flame Swordsman,Effect Monster,warrior,0.3333333333333333,0.36,0.36,True,yugioh
1714,1714,Blue Medicine,Spell Card,normal,,,,False,yugioh
4449,4449,Blue Mountain Butterspy,Effect Monster,warrior,0.3333333333333333,0.34,0.0,False,yugioh
1152,1152,Blue Thunder T-45,Effect Monster,machine,0.3333333333333333,0.34,0.34,True,yugioh
650,650,Blue-Blooded Oni,Effect Monster,zombie,0.3333333333333333,0.34,0.2,True,yugioh
2860,2860,Blue-Eyed Silver Zombie,Normal Monster,zombie,0.25,0.18,0.18,True,yugioh
3123,3123,Blue-Eyes Alternative White Dragon,Effect Monster,dragon,0.6666666666666666,0.6,0.6,True,yugioh
4513,4513,Blue-Eyes Chaos MAX Dragon,Ritual Effect Monster,dragon,0.6666666666666666,0.8,0.8,True,yugioh
4350,4350,Blue-Eyes Shining Dragon,Effect Monster,dragon,0.8333333333333334,0.6,0.6,True,yugioh
4868,4868,Blue-Eyes Spirit Dragon,Synchro Monster,dragon,0.75,0.6,0.5,True,yugioh
4335,4335,Blue-Eyes Toon Dragon,Toon Monster,dragon,0.6666666666666666,0.6,0.6,True,yugioh
179,179,Blue-Eyes Twin Burst Dragon,Fusion Monster,dragon,0.8333333333333334,0.6,0.6,True,yugioh
1975,1975,Blue-Eyes Ultimate Dragon,Fusion Monster,dragon,1.0,0.9,0.9,True,yugioh
3382,3382,Blue-Winged Crown,Normal Monster,winged beast,0.3333333333333333,0.32,0.32,True,yugioh
1832,1832,Blustering Winds,Spell Card,normal,,,,False,yugioh
7593,7593,Boar,Unaligned,beast,0.0625,0.2281360946745562,0.5533333333333333,True,dd5
1750,1750,Boar Soldier,Effect Monster,beast-warrior,0.3333333333333333,0.4,0.4,True,yugioh
6544,6544,Bodil,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
706,706,Bokoichi the Freightening Car,Normal Monster,machine,0.1666666666666666,0.1,0.1,True,yugioh
7231,7231,Bolar,CombatMageDestruction,orc,0.0123152709359605,0.0603573153066151,0.1694238647258781,True,skyrim
7020,7020,Bolfrida Brandy-Mug,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
6856,6856,Bolgeir Bearclaw,CombatWarrior1H,nord,0.022167487684729,0.1197489135683244,0.0967488886951974,False,skyrim
6756,6756,Bolli,None,nord,0.0098522167487684,0.0521487204249155,0.1018382288852087,False,skyrim
995,995,Bolt Escargot,Normal Monster,thunder,0.4166666666666667,0.3,0.28,True,yugioh
3973,3973,Bolt Penguin,Normal Monster,thunder,0.25,0.22,0.22,True,yugioh
6596,6596,Bolund,CombatWarrior1H,nord,0.0049261083743842,0.0410429744084983,0.0742177285801446,False,skyrim
4677,4677,Bombardment Beetle,Flip Effect Monster,insect,0.1666666666666666,0.18,0.08,True,yugioh
3749,3749,Bonding - H2O,Spell Card,normal,,,,False,yugioh
3047,3047,Bone Crusher,Effect Monster,zombie,0.3333333333333333,0.32,0.32,True,yugioh
7594,7594,Bone Devil,Lawful Evil,fiend (devil),0.25,0.4850295857988165,0.7133333333333334,True,dd5
1742,1742,Bone Mouse,Normal Monster,zombie,0.0833333333333333,0.08,0.08,True,yugioh
3914,3914,Bone Temple Block,Trap Card,normal,,,,False,yugioh
6472,6472,Boneheimer,Normal Monster,aqua,0.25,0.17,0.17,True,yugioh
4869,4869,Bonfire Colossus,Effect Monster,beast-warrior,0.6666666666666666,0.52,0.52,True,yugioh
5540,5540,Boo Koo,Normal Monster,spellcaster,0.1666666666666666,0.13,0.13,True,yugioh
2016,2016,Booby Trap E,Trap Card,normal,,,,False,yugioh
2871,2871,Book of Eclipse,Spell Card,quick-play,,,,False,yugioh
188,188,Book of Life,Spell Card,normal,,,,False,yugioh
1151,1151,Book of Moon,Spell Card,quick-play,,,,False,yugioh
3141,3141,Book of Taiyou,Spell Card,normal,,,,False,yugioh
1066,1066,Boon of the Meklord Emperor,Spell Card,normal,,,,False,yugioh
1091,1091,Boot-Up Soldier - Dread Dynamo,Effect Monster,machine,0.3333333333333333,0.4,0.0,False,yugioh
7235,7235,Bor,None,orc,0.0073891625615763,0.0439401255432158,0.1169972980040094,True,skyrim
7224,7224,Borgakh the Steel Heart,GuardOrc1H,orc,0.998768472906404,0.024142926122646,0.0933931839972108,True,skyrim
6573,6573,Borgny,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
6609,6609,Borkul the Beast,GuardOrc1H,orc,0.998768472906404,0.0482858522452921,0.0694238647258781,True,skyrim
7328,7328,Borri,None,elder,0.1231527093596059,0.4225012071463061,0.3858188791074697,False,skyrim
5377,5377,Boss Rush,Spell Card,continuous,,,,False,yugioh
1685,1685,Botanical Lion,Effect Monster,plant,0.3333333333333333,0.4,0.32,True,yugioh
6620,6620,Bothela,VendorApothecary,breton,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
7140,7140,Boti,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
6153,6153,Bottomless Shifting Sand,Trap Card,continuous,,,,False,yugioh
2387,2387,Bottomless Trap Hole,Trap Card,normal,,,,False,yugioh
770,770,Boulder Tortoise,Normal Monster,aqua,0.5,0.44,0.29,True,yugioh
4373,4373,Bound Wand,Spell Card,equip,,,,False,yugioh
2619,2619,Bountiful Artemis,Effect Monster,fairy,0.3333333333333333,0.34,0.32,True,yugioh
3979,3979,Bounzer Guard,Trap Card,normal,,,,False,yugioh
4243,4243,Bowganian,Effect Monster,machine,0.25,0.26,0.26,True,yugioh
1356,1356,Bracchio-raidus,Fusion Monster,dinosaur,0.5,0.44,0.44,True,yugioh
7362,7362,Bradyn,EncClassBanditMelee,dark elf,0.001231527093596,0.0,0.0227272727272727,False,skyrim
6610,6610,Braig,None,breton,0.998768472906404,0.024142926122646,0.0694238647258781,True,skyrim
1431,1431,Brain Golem,Effect Monster,fiend,0.5,0.5,0.5,True,yugioh
3205,3205,Brain Hazard,Trap Card,continuous,,,,False,yugioh
3273,3273,Brain Jacker,Flip Effect Monster,fiend,0.1666666666666666,0.18,0.04,True,yugioh
4821,4821,Brainwashing Beam,Trap Card,continuous,,,,False,yugioh
6932,6932,Braith,None,redguard,0.0049261083743842,0.0313858039594398,0.0383509108341323,False,skyrim
6712,6712,Bralsa Drel,None,dark elf,0.0123152709359605,0.0603573153066151,0.111078183561405,False,skyrim
7269,7269,Bran,None,animals,0.998768472906404,0.0482858522452921,0.0479386385426653,True,skyrim
2482,2482,Branch!,Spell Card,continuous,,,,False,yugioh
6760,6760,Brand-Shei,None,dark elf,0.0098522167487684,0.0521487204249155,0.1018382288852087,False,skyrim
7458,7458,Brandish,None,breton,0.001231527093596,0.0169000482858522,0.1148784101804236,False,skyrim
7595,7595,Brass Dragon Wyrmling,Chaotic Good,dragon,0.0625,0.3318343195266272,0.5700000000000001,True,dd5
5964,5964,Brave Scizzar,Normal Monster,machine,0.3333333333333333,0.26,0.26,True,yugioh
5159,5159,Break! Draw!,Spell Card,equip,,,,False,yugioh
1885,1885,Breaker the Dark Magical Warrior,Effect Monster,spellcaster,0.5,0.32,0.32,True,yugioh
5734,5734,Breaker the Magical Warrior,Effect Monster,spellcaster,0.3333333333333333,0.32,0.32,True,yugioh
1647,1647,Breath of Light,Spell Card,normal,,,,False,yugioh
7047,7047,Brelas,None,wood elf,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7087,7087,Brelyna Maryon,None,dark elf,0.998768472906404,0.024142926122646,0.0694238647258781,False,skyrim
6940,6940,Brenuin,None,redguard,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
4307,4307,Bri Synchron,Tuner Monster,machine,0.3333333333333333,0.3,0.3,True,yugioh
6823,6823,Briehl,CombatWarrior1H,nord,0.0049261083743842,0.0410429744084983,0.0742177285801446,False,skyrim
2042,2042,Bright Future,Trap Card,normal,,,,False,yugioh
1374,1374,Bright Star Dragon,Effect Monster,dragon,0.3333333333333333,0.38,0.38,True,yugioh
6984,6984,Brill,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
605,605,Brilliant Fusion,Spell Card,continuous,,,,False,yugioh
265,265,Brilliant Spark,Trap Card,normal,,,,False,yugioh
6535,6535,Brina Merilis,CombatWarrior1H,nord,0.998768472906404,0.024142926122646,0.0694238647258781,False,skyrim
4105,4105,"Brionac, Dragon of the Ice Barrier",Synchro Monster,sea serpent,0.5,0.46,0.46,True,yugioh
7179,7179,Britte,None,nord,0.0049261083743842,0.0313858039594398,0.0383509108341323,False,skyrim
3404,3404,Broken Bamboo Sword,Spell Card,equip,,,,False,yugioh
4946,4946,Broken Blocker,Trap Card,normal,,,,False,yugioh
7596,7596,Bronze Dragon Wyrmling,Lawful Good,dragon,0.0625,0.3636686390532544,0.5900000000000001,True,dd5
6622,6622,Brother Verulus,None,imperial,0.0073891625615763,0.0444229840656687,0.0852436154449577,False,skyrim
532,532,Brotherhood of the Fire Fist - Bear,Effect Monster,beast-warrior,0.3333333333333333,0.32,0.32,True,yugioh
5364,5364,Brotherhood of the Fire Fist - Boar,Tuner Monster,beast-warrior,0.3333333333333333,0.28,0.22,True,yugioh
4760,4760,Brotherhood of the Fire Fist - Cardinal,XYZ Monster,beast-warrior,0.3333333333333333,0.44,0.36,True,yugioh
4058,4058,Brotherhood of the Fire Fist - Coyote,Effect Monster,beast-warrior,0.4166666666666667,0.4,0.4,True,yugioh
3582,3582,Brotherhood of the Fire Fist - Dragon,Effect Monster,beast-warrior,0.3333333333333333,0.36,0.36,True,yugioh
5659,5659,Brotherhood of the Fire Fist - Gorilla,Effect Monster,beast-warrior,0.3333333333333333,0.32,0.32,True,yugioh
1447,1447,Brotherhood of the Fire Fist - Hawk,Effect Monster,beast-warrior,0.25,0.3,0.04,True,yugioh
5960,5960,Brotherhood of the Fire Fist - Horse Prince,Synchro Monster,beast-warrior,0.5,0.44,0.44,True,yugioh
6378,6378,Brotherhood of the Fire Fist - Kirin,Synchro Monster,beast-warrior,0.6666666666666666,0.56,0.4,True,yugioh
3215,3215,Brotherhood of the Fire Fist - Leopard,Effect Monster,beast-warrior,0.25,0.04,0.0,False,yugioh
2998,2998,Brotherhood of the Fire Fist - Lion Emperor,XYZ Monster,beast-warrior,0.25,0.44,0.44,True,yugioh
3663,3663,Brotherhood of the Fire Fist - Raven,Effect Monster,beast-warrior,0.25,0.36,0.04,True,yugioh
