,name,type,kind,development_stage,vitality,attack,harmful,universe
788,Hot Red Dragon Archfiend Abyss,Synchro Monster,Dragon,0.75,0.64,0.64,True,yugioh
789,Dark Contract with the Witch,Trap Card,Continuous,,,,False,yugioh
790,Gladiator Taming,Spell Card,Quick-Play,,,,False,yugioh
791,White Dragon Ritual,Spell Card,Ritual,,,,False,yugioh
792,Silver Sentinel,Effect Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
793,Gyaku-Gire Panda,Effect Monster,Beast,0.25,0.32,0.16,True,yugioh
794,Tannhauser Gate,Spell Card,Normal,,,,False,yugioh
795,"Musto, Oracle of Gusto",Effect Monster,Psychic,0.3333333333333333,0.36,0.36,True,yugioh
796,Emblem of the Awakening,Spell Card,Ritual,,,,False,yugioh
797,Woodland Archer,Effect Monster,Beast-Warrior,0.25,0.28,0.28,True,yugioh
798,Mogmole,Effect Monster,Beast,0.16666666666666666,0.16,0.16,True,yugioh
799,Ally of Justice Decisive Armor,Synchro Monster,Machine,0.8333333333333334,0.66,0.66,True,yugioh
800,Gusto Codor,Effect Monster,Winged Beast,0.25,0.2,0.2,True,yugioh
801,D.3.S. Frog,Fusion Monster,Aqua,0.6666666666666666,0.5,0.5,True,yugioh
802,Black Wing Revenge,Trap Card,Normal,,,,False,yugioh
803,Blackwing - Black Crest Token,Token,Winged Beast,,,,False,yugioh
804,Blackwing - Gofu the Vague Shadow,Tuner Monster,Winged Beast,0.4166666666666667,0.0,0.0,False,yugioh
805,Vague Shadow Token,Token,Winged Beast,,,,False,yugioh
806,Chain Summoning,Spell Card,Quick-Play,,,,False,yugioh
807,Triamid Fortress,Spell Card,Field,,,,False,yugioh
808,Imperial Custom,Trap Card,Continuous,,,,False,yugioh
809,Beast Rage,Spell Card,Normal,,,,False,yugioh
810,Obelisk the Tormentor,Effect Monster,Divine-Beast,0.8333333333333334,0.8,0.8,True,yugioh
811,Obelisk the Tormentor,Effect Monster,Divine-Beast,0.8333333333333334,0.8,0.8,True,yugioh
812,Obelisk the Tormentor,Effect Monster,Divine-Beast,0.8333333333333334,0.8,0.8,True,yugioh
813,The Winged Dragon of Ra,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
814,The Winged Dragon of Ra,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
815,Slifer the Sky Dragon,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
816,Slifer the Sky Dragon,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
817,Slifer the Sky Dragon,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
818,The Winged Dragon of Ra - Sphere Mode,Effect Monster,Divine-Beast,0.8333333333333334,0.0,0.0,False,yugioh
819,The Winged Dragon of Ra - Immortal Phoenix,Effect Monster,Divine-Beast,0.8333333333333334,0.8,0.8,True,yugioh
820,Gachi Gachi Gantetsu,XYZ Monster,Rock,0.16666666666666666,0.36,0.1,True,yugioh
821,Crystal Release,Spell Card,Equip,,,,False,yugioh
822,Banner of Courage,Spell Card,Continuous,,,,False,yugioh
823,Worm King,Effect Monster,Reptile,0.6666666666666666,0.54,0.54,True,yugioh
824,Reborn Tengu,Effect Monster,Beast-Warrior,0.3333333333333333,0.34,0.34,True,yugioh
825,Divine Dragon - Excelion,Effect Monster,Dragon,0.4166666666666667,0.3,0.3,True,yugioh
826,Weapon Change,Spell Card,Continuous,,,,False,yugioh
827,Koa'ki Meiru Rooklord,Effect Monster,Warrior,0.5833333333333334,0.56,0.56,True,yugioh
828,Spell-Stopping Statute,Trap Card,Counter,,,,False,yugioh
829,Protector of the Throne,Normal Monster,Warrior,0.3333333333333333,0.3,0.16,True,yugioh
830,Jurassic World,Spell Card,Field,,,,False,yugioh
831,Tiger Dragon,Effect Monster,Dragon,0.5,0.48,0.48,True,yugioh
832,Mecha Bunny,Effect Monster,Machine,0.16666666666666666,0.16,0.16,True,yugioh
833,Deskbot 005,Pendulum Effect Monster,Machine,0.4166666666666667,0.1,0.1,True,yugioh
834,Reinforce Truth,Trap Card,Normal,,,,False,yugioh
835,Wingtortoise,Effect Monster,Aqua,0.25,0.3,0.3,True,yugioh
836,R-Genex Oracle,Tuner Monster,Spellcaster,0.08333333333333333,0.06,0.06,True,yugioh
837,Masked Sorcerer,Effect Monster,Spellcaster,0.3333333333333333,0.28,0.18,True,yugioh
838,Raidraptor - Avenge Vulture,Effect Monster,Winged Beast,0.3333333333333333,0.34,0.34,True,yugioh
839,Skull Red Bird,Normal Monster,Winged Beast,0.3333333333333333,0.31,0.31,True,yugioh
840,Decayed Commander,Effect Monster,Zombie,0.3333333333333333,0.3,0.2,True,yugioh
841,Goe Goe the Gallant Ninja,Effect Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
842,Magical Abductor,Pendulum Effect Monster,Spellcaster,0.3333333333333333,0.34,0.34,True,yugioh
843,Hieroglyph Lithograph,Spell Card,Normal,,,,False,yugioh
844,Cyber Blader,Fusion Monster,Warrior,0.5833333333333334,0.42,0.42,True,yugioh
845,The Statue of Easter Island,Normal Monster,Rock,0.3333333333333333,0.28,0.22,True,yugioh
846,Xyz Revenge,Spell Card,Normal,,,,False,yugioh
847,Planckton,Trap Card,Normal,,,,False,yugioh
848,Yaiba Robo,Normal Monster,Machine,0.3333333333333333,0.26,0.2,True,yugioh
849,Sunlight Unicorn,Effect Monster,Beast,0.3333333333333333,0.36,0.36,True,yugioh
850,Scroll of Bewitchment,Spell Card,Equip,,,,False,yugioh
851,Ignition Beast Volcannon,Fusion Monster,Machine,0.5,0.46,0.46,True,yugioh
852,Command Knight,Effect Monster,Warrior,0.3333333333333333,0.38,0.24,True,yugioh
853,Frightfur Leo,Fusion Monster,Fiend,0.5833333333333334,0.48,0.48,True,yugioh
854,Battle Eagle Token,Token,Machine,,,,False,yugioh
855,Doom Donuts,Flip Effect Monster,Fiend,0.08333333333333333,0.0,0.0,False,yugioh
856,"Alsei, the Sylvan High Protector",XYZ Monster,Plant,0.6666666666666666,0.64,0.46,True,yugioh
857,Super Quantal Mech Ship Magnacarrier,Spell Card,Field,,,,False,yugioh
858,Cyber Dragon Infinity,XYZ Monster,Machine,0.5,0.42,0.42,True,yugioh
859,Shuttleroid,Effect Monster,Machine,0.3333333333333333,0.24,0.2,True,yugioh
860,T.A.D.P.O.L.E.,Effect Monster,Aqua,0.08333333333333333,0.0,0.0,False,yugioh
861,Barrel Rock,Normal Monster,Rock,0.3333333333333333,0.26,0.2,True,yugioh
862,Ocean Dragon Lord - Neo-Daedalus,Effect Monster,Sea Serpent,0.6666666666666666,0.58,0.58,True,yugioh
863,Hero Medal,Trap Card,Normal,,,,False,yugioh
864,Ancient Gear Beast,Effect Monster,Machine,0.5,0.4,0.4,True,yugioh
865,Elemental HERO Wildedge,Fusion Monster,Warrior,0.6666666666666666,0.52,0.52,True,yugioh
866,Sylvan Sagequoia,Effect Monster,Plant,0.5833333333333334,0.52,0.52,True,yugioh
867,Hyper-Ancient Shark Megalodon,Effect Monster,Fish,0.6666666666666666,0.58,0.58,True,yugioh
868,Return Soul,Trap Card,Normal,,,,False,yugioh
869,Leogun,Normal Monster,Beast,0.4166666666666667,0.35,0.35,True,yugioh
870,Fishborg Doctor,Effect Monster,Fish,0.3333333333333333,0.08,0.08,True,yugioh
871,Morphtronic Scopen,Tuner Monster,Machine,0.25,0.28,0.16,True,yugioh
872,Zarigun,Normal Monster,Aqua,0.16666666666666666,0.14,0.12,True,yugioh
873,Sacred Noble Knight of King Artorigus,XYZ Monster,Warrior,0.4166666666666667,0.44,0.44,True,yugioh
874,Swallow Flip,Trap Card,Counter,,,,False,yugioh
875,Ancient Rules,Spell Card,Normal,,,,False,yugioh
876,Aegaion the Sea Castrum,XYZ Monster,Machine,0.6666666666666666,0.6,0.0,False,yugioh
877,Mirror of the Ice Barrier,Spell Card,Quick-Play,,,,False,yugioh
878,Vylon Stigma,Effect Monster,Fairy,0.3333333333333333,0.32,0.32,True,yugioh
879,Fire Formation - Tensu,Spell Card,Continuous,,,,False,yugioh
880,Lady of the Lake,Tuner Monster,Aqua,0.08333333333333333,0.36,0.04,True,yugioh
881,Sylvan Cherubsprout,Effect Monster,Plant,0.08333333333333333,0.02,0.02,True,yugioh
882,Guardian Ceal,Effect Monster,Pyro,0.3333333333333333,0.34,0.34,True,yugioh
883,Daigusto Eguls,Synchro Monster,Psychic,0.5833333333333334,0.52,0.52,True,yugioh
884,Kid Guard,Trap Card,Normal,,,,False,yugioh
885,Cú Chulainn the Awakened,Ritual Effect Monster,Warrior,0.3333333333333333,0.2,0.1,True,yugioh
886,Tour Guide From the Underworld,Effect Monster,Fiend,0.25,0.2,0.2,True,yugioh
887,Great Phantom Thief,Effect Monster,Spellcaster,0.25,0.2,0.2,True,yugioh
888,First of the Dragons,Fusion Monster,Dragon,0.75,0.54,0.54,True,yugioh
889,Forbidden Dark Contract with the Swamp King,Spell Card,Continuous,,,,False,yugioh
890,Holograh,Normal Monster,Machine,0.25,0.22,0.22,True,yugioh
891,Bujingi Pavo,Effect Monster,Winged Beast,0.3333333333333333,0.34,0.34,True,yugioh
892,Earthbound Immortal Aslla piscu,Effect Monster,Winged Beast,0.8333333333333334,0.5,0.5,True,yugioh
893,Masked HERO Vapor,Fusion Monster,Warrior,0.5,0.48,0.48,True,yugioh
894,Contact with the Aquamirror,Spell Card,Normal,,,,False,yugioh
895,Time Magic Hammer,Fusion Monster,Spellcaster,0.16666666666666666,0.1,0.1,True,yugioh
896,Barrier Statue of the Torrent,Effect Monster,Aqua,0.3333333333333333,0.2,0.2,True,yugioh
897,Bug Emergency,Trap Card,Normal,,,,False,yugioh
898,Amazoness Tiger,Effect Monster,Beast,0.3333333333333333,0.3,0.22,True,yugioh
899,Gradius,Normal Monster,Machine,0.3333333333333333,0.24,0.24,True,yugioh
900,Jurrac Guaiba,Effect Monster,Dinosaur,0.3333333333333333,0.34,0.34,True,yugioh
901,Neko Mane King,Effect Monster,Beast,0.08333333333333333,0.0,0.0,False,yugioh
902,Frightfur Wolf,Fusion Monster,Fiend,0.5,0.4,0.4,True,yugioh
903,Psychic Feel Zone,Spell Card,Normal,,,,False,yugioh
904,Super Hippo Carnival,Spell Card,Quick-Play,,,,False,yugioh
905,Hippo Token,Token,Beast,,,,False,yugioh
906,Hippo Token,Token,Beast,,,,False,yugioh
907,Hippo Token,Token,Beast,,,,False,yugioh
908,Hippo Token,Token,Beast,,,,False,yugioh
909,Saber Slash,Spell Card,Normal,,,,False,yugioh
910,Galaxy Serpent,Normal Tuner Monster,Dragon,0.16666666666666666,0.2,0.2,True,yugioh
911,The Fang of Critias,Spell Card,Normal,,,,False,yugioh
912,Luster Dragon,Normal Monster,Dragon,0.3333333333333333,0.38,0.38,True,yugioh
913,Shien's Castle of Mist,Spell Card,Field,,,,False,yugioh
914,Xyz Universe,Trap Card,Normal,,,,False,yugioh
915,That Grass Looks Greener,Spell Card,Normal,,,,False,yugioh
916,Lancer Dragonute,Effect Monster,Dragon,0.3333333333333333,0.36,0.3,True,yugioh
917,Crystal Counter,Trap Card,Normal,,,,False,yugioh
918,Worm Hope,Flip Effect Monster,Reptile,0.08333333333333333,0.3,0.16,True,yugioh
919,The Kaiju Files,Spell Card,Continuous,,,,False,yugioh
920,Lunalight Reincarnation Dance,Trap Card,Normal,,,,False,yugioh
921,Bujincident,Trap Card,Normal,,,,False,yugioh
922,Horus the Black Flame Dragon LV6,Effect Monster,Dragon,0.5,0.46,0.46,True,yugioh
923,Reinforced Space,Trap Card,Normal,,,,False,yugioh
924,Xyz Soul,Trap Card,Normal,,,,False,yugioh
925,Destructotron,Effect Monster,Psychic,0.3333333333333333,0.32,0.32,True,yugioh
926,Emperor of the Land and Sea,Normal Monster,Reptile,0.4166666666666667,0.36,0.36,True,yugioh
927,Darklord Superbia,Effect Monster,Fairy,0.6666666666666666,0.58,0.58,True,yugioh
928,TGX1-HL,Spell Card,Quick-Play,,,,False,yugioh
929,Invoked Elysium,Fusion Monster,Fairy,0.8333333333333334,0.8,0.64,True,yugioh
930,Quick-Span Knight,Tuner Monster,Machine,0.25,0.2,0.2,True,yugioh
931,Lunalight Black Sheep,Effect Monster,Beast-Warrior,0.16666666666666666,0.12,0.02,True,yugioh
932,Dark Blade,Normal Monster,Warrior,0.3333333333333333,0.36,0.36,True,yugioh
933,Electric Snake,Effect Monster,Thunder,0.25,0.18,0.16,True,yugioh
934,Dark Simorgh,Effect Monster,Winged Beast,0.5833333333333334,0.54,0.54,True,yugioh
935,Proof of Powerlessness,Trap Card,Normal,,,,False,yugioh
936,Cannon Soldier,Effect Monster,Machine,0.3333333333333333,0.28,0.28,True,yugioh
937,Naturia Fruitfly,Effect Monster,Insect,0.25,0.3,0.16,True,yugioh
938,King of the Feral Imps,XYZ Monster,Reptile,0.3333333333333333,0.46,0.46,True,yugioh
939,Machine Angel Absolute Ritual,Spell Card,Ritual,,,,False,yugioh
940,Lunalight Blue Cat,Effect Monster,Beast-Warrior,0.3333333333333333,0.32,0.32,True,yugioh
941,Grave Protector,Effect Monster,Fiend,0.3333333333333333,0.4,0.0,False,yugioh
942,Sky Scourge Enrise,Effect Monster,Fairy,0.6666666666666666,0.48,0.48,True,yugioh
943,Etoile Cyber,Effect Monster,Warrior,0.3333333333333333,0.32,0.24,True,yugioh
944,Light Laser,Spell Card,Equip,,,,False,yugioh
945,Artifact Achilleshield,Effect Monster,Fairy,0.4166666666666667,0.44,0.3,True,yugioh
946,Fortissimo,Spell Card,Continuous,,,,False,yugioh
947,Kickfire,Trap Card,Continuous,,,,False,yugioh
948,Elemental HERO Air Neos,Fusion Monster,Warrior,0.5833333333333334,0.5,0.5,True,yugioh
949,Mutant Mindmaster,Effect Monster,Spellcaster,0.5,0.5,0.0,False,yugioh
950,Zoodiac Tigermortar,XYZ Monster,Beast-Warrior,0.3333333333333333,0.0,0.0,False,yugioh
951,Outstanding Dog Marron,Effect Monster,Beast,0.08333333333333333,0.02,0.02,True,yugioh
952,Gamma the Magnet Warrior,Normal Monster,Rock,0.3333333333333333,0.36,0.3,True,yugioh
953,Ritual Beast Steeds,Trap Card,Normal,,,,False,yugioh
954,Chaos Trap Hole,Trap Card,Counter,,,,False,yugioh
955,Reckoned Power,Trap Card,Normal,,,,False,yugioh
956,Blackwing - Elphin the Raven,Effect Monster,Winged Beast,0.5,0.44,0.44,True,yugioh
957,Super Quantal Mech Beast Aeroboros,XYZ Monster,Machine,0.3333333333333333,0.48,0.44,True,yugioh
958,Gellenduo,Effect Monster,Fairy,0.3333333333333333,0.34,0.34,True,yugioh
959,Protective Soul Ailin,Union Effect Monster,Fairy,0.08333333333333333,0.0,0.0,False,yugioh
960,Sylvan Bladefender,Effect Monster,Plant,0.3333333333333333,0.38,0.38,True,yugioh
961,Blast Asmodian,Effect Monster,Fiend,0.25,0.2,0.2,True,yugioh
962,Xyz Change Tactics,Spell Card,Continuous,,,,False,yugioh
963,"30,000-Year White Turtle",Normal Monster,Aqua,0.4166666666666667,0.42,0.25,True,yugioh
964,Worm Xex,Effect Monster,Reptile,0.3333333333333333,0.36,0.36,True,yugioh
965,Raigeki Bottle,Trap Card,Continuous,,,,False,yugioh
966,Union Rider,Effect Monster,Machine,0.16666666666666666,0.2,0.2,True,yugioh
967,Spore,Tuner Monster,Plant,0.08333333333333333,0.16,0.08,True,yugioh
968,Sasuke Samurai 2,Effect Monster,Warrior,0.08333333333333333,0.06,0.04,True,yugioh
969,Beast of Talwar,Normal Monster,Fiend,0.5,0.48,0.48,True,yugioh
970,Buster Dragon,Synchro Monster,Dragon,0.6666666666666666,0.56,0.24,True,yugioh
971,Gorgon Egg,Normal Monster,Fiend,0.25,0.26,0.06,True,yugioh
972,Barkion's Bark,Spell Card,Normal,,,,False,yugioh
973,Great Angus,Normal Monster,Beast,0.3333333333333333,0.36,0.36,True,yugioh
974,"Tytannial, Princess of Camellias",Effect Monster,Plant,0.6666666666666666,0.56,0.56,True,yugioh
975,Ancient Leaf,Spell Card,Normal,,,,False,yugioh
976,Laval Blaster,Effect Monster,Warrior,0.3333333333333333,0.24,0.24,True,yugioh
977,Madolche Magileine,Effect Monster,Spellcaster,0.3333333333333333,0.28,0.28,True,yugioh
978,Goblin's Secret Remedy,Spell Card,Normal,,,,False,yugioh
979,Evigishki Mind Augus,Ritual Effect Monster,Aqua,0.5,0.5,0.5,True,yugioh
980,B. Skull Dragon,Fusion Monster,Dragon,0.75,0.64,0.64,True,yugioh
981,Instant Neo Space,Spell Card,Equip,,,,False,yugioh
982,Hunting Instinct,Trap Card,Normal,,,,False,yugioh
983,Flyfang,Effect Monster,Fish,0.25,0.32,0.32,True,yugioh
984,Bujingi Raven,Effect Monster,Winged Beast,0.3333333333333333,0.32,0.32,True,yugioh
985,Different Dimension Capsule,Spell Card,Normal,,,,False,yugioh
986,Hieratic Seal of Banishment,Trap Card,Normal,,,,False,yugioh
987,Nin-Ken Dog,Normal Monster,Beast-Warrior,0.3333333333333333,0.36,0.36,True,yugioh
988,Gagaga Cowboy,XYZ Monster,Warrior,0.3333333333333333,0.48,0.3,True,yugioh
989,Goblin Calligrapher,Normal Monster,Fiend,0.08333333333333333,0.08,0.08,True,yugioh
990,Dark Calling,Spell Card,Normal,,,,False,yugioh
991,Wind-Up Dog,Effect Monster,Beast,0.25,0.24,0.24,True,yugioh
992,Delta Tri,Effect Monster,Machine,0.3333333333333333,0.24,0.24,True,yugioh
993,Shattered Axe,Trap Card,Continuous,,,,False,yugioh
994,People Running About,Normal Monster,Pyro,0.16666666666666666,0.12,0.12,True,yugioh
995,Bolt Escargot,Normal Monster,Thunder,0.4166666666666667,0.3,0.28,True,yugioh
996,Scrounging Goblin,Effect Monster,Fiend,0.3333333333333333,0.4,0.2,True,yugioh
997,Elephant Statue of Disaster,Effect Monster,Rock,0.25,0.3,0.3,True,yugioh
998,"Zeradias, Herald of Heaven",Effect Monster,Fairy,0.3333333333333333,0.42,0.42,True,yugioh
999,Hydro Pressure Cannon,Spell Card,Equip,,,,False,yugioh
1000,Triangle Ecstasy Spark,Spell Card,Normal,,,,False,yugioh
1001,Card Shuffle,Spell Card,Continuous,,,,False,yugioh
1002,Commander of Swords,Trap Card,Normal,,,,False,yugioh
1003,Harpie Lady Sisters,Effect Monster,Winged Beast,0.5,0.42,0.39,True,yugioh
1004,Deskbot Base,Spell Card,Field,,,,False,yugioh
1005,Koa'ki Meiru Shield,Trap Card,Normal,,,,False,yugioh
1006,Fabled Ashenveil,Effect Monster,Fiend,0.3333333333333333,0.32,0.32,True,yugioh
1007,Inferno Reckless Summon,Spell Card,Quick-Play,,,,False,yugioh
1008,World Suppression,Trap Card,Normal,,,,False,yugioh
1009,Performapal Fireflux,Pendulum Effect Monster,Insect,0.3333333333333333,0.32,0.24,True,yugioh
1010,Delta The Magnet Warrior,Effect Monster,Rock,0.3333333333333333,0.32,0.32,True,yugioh
1011,Trifortressops,Effect Monster,Machine,0.5,0.56,0.32,True,yugioh
1012,Wattwoodpecker,Effect Monster,Thunder,0.25,0.2,0.2,True,yugioh
1013,Prime Material Dragon,Effect Monster,Dragon,0.5,0.48,0.48,True,yugioh
1014,Wind-Up Soldier,Effect Monster,Warrior,0.3333333333333333,0.36,0.36,True,yugioh
1015,Invoked Purgatrio,Fusion Monster,Fiend,0.5833333333333334,0.46,0.46,True,yugioh
1016,Legendary Ebon Steed,Spell Card,Equip,,,,False,yugioh
1017,Legendary Maju Garzett,Effect Monster,Fiend,0.6666666666666666,0.0,0.0,False,yugioh
1018,Super Quantum Blue Layer,Effect Monster,Psychic,0.25,0.4,0.24,True,yugioh
1019,Kozmourning,Trap Card,Continuous,,,,False,yugioh
1020,"Freya, Spirit of Victory",Effect Monster,Fairy,0.08333333333333333,0.02,0.02,True,yugioh
1021,Kozmoll Dark Lady,Effect Monster,Psychic,0.4166666666666667,0.44,0.44,True,yugioh
1022,Gagaga Gardna,Effect Monster,Warrior,0.3333333333333333,0.4,0.3,True,yugioh
1023,Koa'ki Meiru Drago,Effect Monster,Dragon,0.3333333333333333,0.38,0.38,True,yugioh
1024,Aqua Snake,Normal Monster,Aqua,0.25,0.21,0.21,True,yugioh
1025,Artifact Sanctum,Trap Card,Normal,,,,False,yugioh
1026,Frontline Observer,Effect Monster,Machine,0.3333333333333333,0.3,0.2,True,yugioh
1027,Tackle Crusader,Effect Monster,Rock,0.3333333333333333,0.36,0.3,True,yugioh
1028,Revival Rose,Effect Monster,Plant,0.3333333333333333,0.26,0.26,True,yugioh
1029,Curse of Fiend,Spell Card,Normal,,,,False,yugioh
1030,Leghul,Effect Monster,Insect,0.08333333333333333,0.07,0.06,True,yugioh
1031,Ojama Green,Normal Monster,Beast,0.16666666666666666,0.2,0.0,False,yugioh
1032,Dunames Dark Witch,Normal Monster,Fairy,0.3333333333333333,0.36,0.36,True,yugioh
1033,Rare Metalmorph,Trap Card,Continuous,,,,False,yugioh
1034,"Neo-Parshath, the Sky Paladin",Effect Monster,Fairy,0.5833333333333334,0.46,0.46,True,yugioh
1035,Symphonic Warrior Guitaar,Pendulum Effect Monster,Machine,0.25,0.3,0.3,True,yugioh
1036,Baby Tiragon,XYZ Monster,Dragon,0.08333333333333333,0.18,0.18,True,yugioh
1037,Treeborn Frog,Effect Monster,Aqua,0.08333333333333333,0.02,0.02,True,yugioh
1038,Raigeki,Spell Card,Normal,,,,False,yugioh
1039,Exodia Necross,Effect Monster,Spellcaster,0.3333333333333333,0.36,0.36,True,yugioh
1040,Waboku,Trap Card,Normal,,,,False,yugioh
1041,Digital Bug Scaradiator,XYZ Monster,Insect,0.25,0.36,0.36,True,yugioh
1042,Radiant Spirit,Effect Monster,Reptile,0.5833333333333334,0.4,0.4,True,yugioh
1043,Neo Galaxy-Eyes Cipher Dragon,XYZ Monster,Dragon,0.75,0.9,0.9,True,yugioh
1044,Advanced Dark,Spell Card,Field,,,,False,yugioh
1045,Ultimate Ancient Gear Golem,Fusion Monster,Machine,0.8333333333333334,0.88,0.88,True,yugioh
1046,Cyber Network,Trap Card,Continuous,,,,False,yugioh
1047,Ritual Beast Ulti-Pettlephin,Fusion Monster,Aqua,0.5,0.56,0.04,True,yugioh
1048,Abaki,Effect Monster,Fiend,0.3333333333333333,0.34,0.34,True,yugioh
1049,Artifact Beagalltach,Effect Monster,Fairy,0.4166666666666667,0.42,0.28,True,yugioh
1050,Rainbow Veil,Spell Card,Equip,,,,False,yugioh
1051,Goblin Pothole Squad,Effect Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
1052,Garuda the Wind Spirit,Effect Monster,Winged Beast,0.3333333333333333,0.32,0.32,True,yugioh
1053,Dark Lucius LV6,Effect Monster,Fiend,0.5,0.34,0.34,True,yugioh
1054,Kanan the Swordmistress,Normal Monster,Warrior,0.3333333333333333,0.28,0.28,True,yugioh
1055,Missing Force,Effect Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
1056,Curse of the Circle,Trap Card,Normal,,,,False,yugioh
1057,Flame Dancer,Normal Monster,Pyro,0.16666666666666666,0.11,0.11,True,yugioh
1058,Swords of Concealing Light,Spell Card,Continuous,,,,False,yugioh
1059,SZW - Fenrir Sword,Effect Monster,Beast,0.3333333333333333,0.36,0.36,True,yugioh
1060,Madolche Lesson,Trap Card,Normal,,,,False,yugioh
1061,Nuvia the Wicked,Effect Monster,Fiend,0.3333333333333333,0.4,0.4,True,yugioh
1062,Phantom Skyblaster,Effect Monster,Fiend,0.3333333333333333,0.22,0.22,True,yugioh
1063,Des Dendle,Union Effect Monster,Plant,0.3333333333333333,0.4,0.06,True,yugioh
1064,Wicked Plant Token,Token,Plant,,,,False,yugioh
1065,Madolche Mewfeuille,Effect Monster,Beast,0.25,0.1,0.1,True,yugioh
1066,Boon of the Meklord Emperor,Spell Card,Normal,,,,False,yugioh
1067,Laval the Greater,Synchro Monster,Warrior,0.5,0.48,0.48,True,yugioh
1068,Strength of Prophecy,Effect Monster,Spellcaster,0.3333333333333333,0.3,0.3,True,yugioh
1069,CXyz Comics Hero Legend Arthur,XYZ Monster,Warrior,0.4166666666666667,0.6,0.6,True,yugioh
1070,Xyz Unit,Spell Card,Equip,,,,False,yugioh
1071,Giant Soldier of Stone,Normal Monster,Rock,0.25,0.4,0.26,True,yugioh
1072,Pre-Preparation of Rites,Spell Card,Normal,,,,False,yugioh
1073,Sword Arm of Dragon,Normal Monster,Dinosaur,0.5,0.406,0.35,True,yugioh
1074,Qliphort Stealth,Pendulum Effect Monster,Machine,0.6666666666666666,0.56,0.56,True,yugioh
1075,Destiny HERO - Diamond Dude,Effect Monster,Warrior,0.3333333333333333,0.32,0.28,True,yugioh
1076,Gem-Knight Aquamarine,Fusion Monster,Aqua,0.5,0.52,0.28,True,yugioh
1077,Hieratic Seal of the Sun Dragon Overlord,Normal Monster,Dragon,0.6666666666666666,0.0,0.0,False,yugioh
1078,Gagagarush,Trap Card,Normal,,,,False,yugioh
1079,Double Dragon Descent,Trap Card,Normal,,,,False,yugioh
1080,Charcoal Inpachi,Normal Monster,Pyro,0.08333333333333333,0.42,0.02,True,yugioh
1081,Ice Princess Zereort,XYZ Monster,Winged Beast,0.4166666666666667,0.5,0.5,True,yugioh
1082,Dark Plant,Normal Monster,Plant,0.08333333333333333,0.08,0.06,True,yugioh
1083,Storm,Spell Card,Normal,,,,False,yugioh
1084,Dream Clown,Effect Monster,Warrior,0.25,0.24,0.24,True,yugioh
1085,Vylon Charger,Effect Monster,Fairy,0.3333333333333333,0.2,0.2,True,yugioh
1086,Fluffal Penguin,Effect Monster,Fairy,0.3333333333333333,0.32,0.32,True,yugioh
1087,Anteatereatingant,Effect Monster,Insect,0.4166666666666667,0.4,0.4,True,yugioh
1088,Evil HERO Wild Cyclone,Fusion Monster,Fiend,0.6666666666666666,0.46,0.38,True,yugioh
1089,Battlin' Boxer Veil,Effect Monster,Warrior,0.3333333333333333,0.36,0.0,False,yugioh
1090,Deepsea Macrotrema,Effect Monster,Fish,0.08333333333333333,0.12,0.12,True,yugioh
1091,Boot-Up Soldier - Dread Dynamo,Effect Monster,Machine,0.3333333333333333,0.4,0.0,False,yugioh
1092,Rocket Hand,Trap Card,Normal,,,,False,yugioh
1093,Dragunity Darkspear,Tuner Monster,Dragon,0.25,0.2,0.2,True,yugioh
1094,Ghost Knight of Jackal,Effect Monster,Beast-Warrior,0.4166666666666667,0.34,0.34,True,yugioh
1095,Noble Knight Gwalchavad,Effect Monster,Warrior,0.3333333333333333,0.36,0.3,True,yugioh
1096,Desertapir,Flip Effect Monster,Beast,0.25,0.18,0.18,True,yugioh
1097,Great White,Normal Monster,Fish,0.3333333333333333,0.32,0.32,True,yugioh
1098,Blossom Bombardment,Trap Card,Normal,,,,False,yugioh
1099,Dverg of the Nordic Alfar,Effect Monster,Warrior,0.08333333333333333,0.2,0.02,True,yugioh
1100,Cloudian - Storm Dragon,Effect Monster,Fairy,0.3333333333333333,0.2,0.2,True,yugioh
1101,Rodenut,Effect Monster,Beast,0.08333333333333333,0.02,0.02,True,yugioh
1102,Photon Caesar,Effect Monster,Warrior,0.6666666666666666,0.56,0.4,True,yugioh
1103,Gottoms' Emergency Call,Trap Card,Normal,,,,False,yugioh
1104,Castle of Dragon Souls,Trap Card,Continuous,,,,False,yugioh
1105,Stygian Street Patrol,Effect Monster,Fiend,0.3333333333333333,0.32,0.32,True,yugioh
1106,Spirit of Flames,Effect Monster,Pyro,0.3333333333333333,0.34,0.34,True,yugioh
1107,Invoked Caliga,Fusion Monster,Beast,0.3333333333333333,0.36,0.2,True,yugioh
1108,Dummy Golem,Flip Effect Monster,Rock,0.16666666666666666,0.16,0.16,True,yugioh
